exhales						wydechy
exhale sharply				gwałtowny wydech
sighs						westchnienia
chuckles					chichoty
embarassing					żenujące
parking lot					parking
bend down					schylać się
plow						orać
grab on						chwycić się
swep						zmiecić
it'd						it would
struck						powalony
erectile dysfunction		zaburzenia erekcji
engorge						nabrzmieć (obrzęk)
ulate						spóźniłeś się
stoner						narkoman
funnily						zabawnie
EMT							Emergency Medical Technician
launched into				wejść w
purse						torebka, portmonetka
